3-D Printing Club,Tech;Engineering
Swings for Soldiers at Penn State,Military
Synchronized Swimming,Sport
Table Tennis,Sport
Tabletop Roleplaying Circle,Hobby
Taekwondo,Physical Activity;Sport
Taiji,Cultural;Physical Acitvity
Taiwanese American Student Association,Cultural
Taiwanese Student Association,Cultural
Tamid Israel Investment Group,Business
Tapestry Dance Company,Arts;Physical Activity
Tardis: The Doctor Who Club,Hobby
Tau Beta Pi,Greek
Tau Epsilon Phi,Greek
Tau Kappa Epsilon,Greek
Tau Phi Delta,Greek
Team Handball,Sport
TEDxPSU,Educational;Community
Telecommunications Club,Engineering;Tech
Tennis,Sport
Tetra,THON
Thai Student Association,Culture
The Acres Project at State,THON;Community
The Anime Comics Game Club,Hobby
The App Development Club,Educational;Math
The Bells,Community;THON
The Blackbox Theatre Company,Arts;Acting
The Bridge Initiative,Community
The Chemistry Graduate Student Association,Chemistry
The Climate Reality Project Campus Corps at Penn State,Agricultural
The Coda Conduct,Cultural;Music
The Critically Acclaimed Movies Club,Arts;Community
The Dream Crew,Culture;Arts
The Flow Arts Club,Arts;Community
The Hi11,Sport
The Humpday Gallery,Arts;Community
The Istari Society,Hobby;Arts
The Knittany Lions,Hobby;Arts
The Lion's Pantry,Community;THON
"The Literacy,Education, and Agricultural Development Society at Penn State",Agricultural;Educational
The Nittany Wits - Sketch Comedy,Arts;Hobby
The Nuclear Navy Club,Engineering;Military
The Penn State Forestry Society,Agricultural;Educational
The Penn State Thespian Society,Acting;Arts
The Salt Company,Religious
The Statesmen,Music;Arts
The Tea Society of Penn State,Hobby;Cultural
The Theta Mu Chapter of Phi Epsilon Kappa at the Pennsylvania State University,Greek
The Traditional Japanese Tea Ceremony (Chanoyu) Club,Cultural
The Traditional Korean Tea Ceremony (Darye) Club,Cultural
The Underground,Cultural;Community
The Wildlife Society,Agricultural;Educational
Theme Park Engineering Group,Engineering;Tech
Theta Chi,Greek
Theta Delta Chi,Greek
Three Broomsticks,Hobby
Toms Club,Community
Track and Field,Sport
Transfer Student Network at Penn State,Cultural;Community
Trap and Skeet Club,Sport;Hobby
Travel and Tourism Graduate Student Association,Cultural
Tri State,THON
Triangle,Greek;Engineering
Triathlon,Physical Activity
Trilogy,THON
Trombone Choir,Music
Turfgrass Club,Educational;Community
Turkish Student Association,Cultural
Turning Point USA at Penn State University,Political
Twirling Club,Sport
Ukrainian Society,Cultural
Ultimate Frisbee - Men,Sport
Ultimate Frisbee - Women,Sport
UMTTR,Educational;Community
UN Campus Advocates,Political
Underdogs,Geoscience;Hobby
Undergraduate Research Society,Educational;Engineering;Math
United Nations Children's Fund at Penn State,THON;Community
United Product Vision Club,Educational;Business
United Socialists at Penn State,Political
United States Green Building Council Student Group,Agricultural;Tech
Unity Christian Campus Ministry,Religious
University Choir,Arts;Music
University Departments and Resources,Community
University Park Allocation Committee,Community
University Park Undergraduate Association,Community
Unmanned Aerial Systems Club,Engineering;Tech
Uplifting Athletes,Sport;THON;Community
Urban Dance Troupe,Physical Activity;Cultural
Urban Gaming Club,Hobby;Physical Activity
US Institute of Theatre Technology,Arts;Tech
Vaccinate America,Educational;Community
Valley Magazine,Community
Vedic Society,Religious
Vegetarian Club,Community
Venezuelan Student Organization,Cultural
Veteran's Organization,Military
Victory Christian Fellowship,Religious
Video Game Club,Hobby
Vietnamese Student Association,Cultural
Viola Society,Music
Volé,Physical Activity;Arts
Volleyball - Men,Sport
Volleyball - Women,Sport
Volunteer Income Tax Assistance,Educational
Water Polo - Men,Sport
Water Polo - Women,Sport
We Are Karaoke,Hobby;Community
We R: R Users @ Penn State,Educational;Math
Weather Risk Management Club,Meteorology;Business
Wesley Student Foundation at Penn State,Religious;Community
West Halls Residence Association,Community
Western Equestrian,Agricultural
Westminster Presbyterian Fellowship,Religious
Whiplash Dance Team,Physical Activity;Arts
Wiki,Cultural;Educational
Wind Energy Club,Engineering;Tech
Wine Club,Hobby
Wings,Community;Educational
Women in Business,Cultural;Business
Women in Economics Society,Cultural;Business
Women in Information Sciences and Technology,Cultural;Engineering
Women in Materials Science,Cultural; Engineering
Women in Nuclear (WIN) at Penn State,Cultural;Engineering
Women in Politics,Political;Cultural
Women in Science and Engineering Special Living Option,Cultural;Engineering
Women Racial Ethnic Diversity Intercultural Network,Cultural
Women Who #Hustle,Cultural;Business
Women's Club Team Handball,Sport
Woodsmen Team,Sport
World Around You,Cultural
Worldbuilding Club,Arts
wRecking Crew,Sport
Wrestling,Sport
Wrestling Affiliate Club,Sport
Writers Organizing to Represent Diverse Stories,Arts
Yesplus at Penn State,Physical Activity;Health
Yoga,Physical Activity;Health
Young Americans for Liberty,Political
Young Life,Religious
Youth Empowerment Program,Community
Zate Tau Alpha,Greek
Zeta Beta Tau,Greek
Zeta Phi Beta,Greek
